low_thresh,high_thresh,policy_acc,acc_loss,tok_saving_pct,feasible
0.0,0.05,0.4915637860082305,0.017078189300411495,49.99874644812255,True
0.0,0.1,0.49238683127572014,0.01625514403292183,46.36981969686644,True
0.0,0.15,0.4940329218106996,0.014609053497942392,42.88457470869044,True
0.0,0.2,0.49218106995884775,0.01646090534979422,38.08944451644031,True
0.0,0.25,0.4934156378600823,0.015226337448559668,32.2705096682984,True
0.0,0.3,0.4952674897119342,0.013374485596707786,26.605226146055394,True
0.0,0.35,0.49135802469135803,0.01728395061728394,18.701893475397842,True
0.0,0.4,0.49382716049382713,0.014814814814814836,10.379521364467097,True
0.0,0.45,0.5049382716049383,0.0037037037037036535,4.340973643748084,True
0.0,0.5,0.5078189300411523,0.0008230452674896638,1.6087543354945026,True
0.0,0.55,0.5074074074074074,0.0012345679012345512,-0.03405188339401313,True
0.0,0.6,0.508641975308642,0.0,-1.2727259244768507,True
0.0,0.65,0.508641975308642,0.0,-1.2727259244768507,True
0.0,0.7,0.508641975308642,0.0,-1.2727259244768507,True
0.0,0.75,0.508641975308642,0.0,-1.2727259244768507,True
0.0,0.8,0.508641975308642,0.0,-1.2727259244768507,True
0.0,0.85,0.5084362139917695,0.0002057613168724437,-0.07682566294943735,True
0.0,0.9,0.508641975308642,0.0,0.0,True
0.0,0.95,0.508641975308642,0.0,0.0,True
0.0,1.0,0.508641975308642,0.0,0.0,True
0.05,0.1,0.48518518518518516,0.023456790123456805,65.16051525808044,False
0.05,0.15,0.4868312757201646,0.021810699588477367,61.67527026990442,False
0.05,0.2,0.4849794238683128,0.023662551440329194,56.880140077654296,False
0.05,0.25,0.4862139917695473,0.022427983539094642,51.061205229512396,False
0.05,0.3,0.48806584362139915,0.020576131687242816,45.39592170726939,False
0.05,0.35,0.48415637860082306,0.024485596707818913,37.49258903661183,False
0.05,0.4,0.48662551440329216,0.02201646090534981,29.170216925681085,False
0.05,0.45,0.4977366255144033,0.010905349794238683,23.131669204962087,True
0.05,0.5,0.5006172839506173,0.008024691358024638,20.399449896708507,True
0.05,0.55,0.5002057613168724,0.008436213991769526,18.75664367781998,True
0.05,0.6,0.501440329218107,0.007201646090534974,17.517969636737142,True
0.05,0.65,0.501440329218107,0.007201646090534974,17.517969636737142,True
0.05,0.7,0.501440329218107,0.007201646090534974,17.517969636737142,True
0.05,0.75,0.501440329218107,0.007201646090534974,17.517969636737142,True
0.05,0.8,0.501440329218107,0.007201646090534974,17.517969636737142,True
0.05,0.85,0.5012345679012346,0.007407407407407418,18.713869898264555,True
0.05,0.9,0.501440329218107,0.007201646090534974,18.790695561214005,True
0.05,0.95,0.501440329218107,0.007201646090534974,18.790695561214005,True
0.05,1.0,0.501440329218107,0.007201646090534974,18.790695561214005,True
0.1,0.15,0.4860082304526749,0.022633744855967086,65.30419702116053,False
0.1,0.2,0.48415637860082306,0.024485596707818913,60.509066828910406,False
0.1,0.25,0.4853909465020576,0.023251028806584362,54.690131980768506,False
0.1,0.3,0.4872427983539095,0.02139917695473248,49.0248484585255,False
0.1,0.35,0.48333333333333334,0.025308641975308632,41.12151578786795,False
0.1,0.4,0.4858024691358025,0.022839506172839474,32.7991436769372,False
0.1,0.45,0.49691358024691357,0.011728395061728403,26.760595956218197,True
0.1,0.5,0.49979423868312756,0.008847736625514413,24.02837664796462,True
0.1,0.55,0.4993827160493827,0.009259259259259245,22.38557042907609,True
0.1,0.6,0.5006172839506173,0.008024691358024638,21.14689638799325,True
0.1,0.65,0.5006172839506173,0.008024691358024638,21.14689638799325,True
0.1,0.7,0.5006172839506173,0.008024691358024638,21.14689638799325,True
0.1,0.75,0.5006172839506173,0.008024691358024638,21.14689638799325,True
0.1,0.8,0.5006172839506173,0.008024691358024638,21.14689638799325,True
0.1,0.85,0.5004115226337449,0.008230452674897082,22.342796649520665,True
0.1,0.9,0.5006172839506173,0.008024691358024638,22.419622312470118,True
0.1,0.95,0.5006172839506173,0.008024691358024638,22.419622312470118,True
0.1,1.0,0.5006172839506173,0.008024691358024638,22.419622312470118,True
0.15,0.2,0.4825102880658436,0.02613168724279835,63.99431181708641,False
0.15,0.25,0.48374485596707817,0.0248971193415638,58.17537696894451,False
0.15,0.3,0.48559670781893005,0.023045267489711918,52.510093446701504,False
0.15,0.35,0.4816872427983539,0.02695473251028807,44.606760776043956,False
0.15,0.4,0.48415637860082306,0.024485596707818913,36.284388665113205,False
0.15,0.45,0.4952674897119342,0.013374485596707786,30.245840944394203,True
0.15,0.5,0.4981481481481482,0.010493827160493796,27.513621636140623,True
0.15,0.55,0.4977366255144033,0.010905349794238683,25.870815417252096,True
0.15,0.6,0.49897119341563784,0.009670781893004132,24.63214137616926,True
0.15,0.65,0.49897119341563784,0.009670781893004132,24.63214137616926,True
0.15,0.7,0.49897119341563784,0.009670781893004132,24.63214137616926,True
0.15,0.75,0.49897119341563784,0.009670781893004132,24.63214137616926,True
0.15,0.8,0.49897119341563784,0.009670781893004132,24.63214137616926,True
0.15,0.85,0.49876543209876545,0.00987654320987652,25.828041637696668,True
0.15,0.9,0.49897119341563784,0.009670781893004132,25.904867300646124,True
0.15,0.95,0.49897119341563784,0.009670781893004132,25.904867300646124,True
0.15,1.0,0.49897119341563784,0.009670781893004132,25.904867300646124,True
0.2,0.25,0.48559670781893005,0.023045267489711918,62.970507161194654,False
0.2,0.3,0.4874485596707819,0.02119341563786009,57.30522363895163,False
0.2,0.35,0.4835390946502058,0.02510288065843619,49.40189096829408,False
0.2,0.4,0.4860082304526749,0.022633744855967086,41.07951885736333,False
0.2,0.45,0.497119341563786,0.011522633744855959,35.04097113664433,True
0.2,0.5,0.5,0.00864197530864197,32.308751828390754,True
0.2,0.55,0.49958847736625517,0.009053497942386801,30.665945609502238,True
0.2,0.6,0.5008230452674897,0.007818930041152305,29.427271568419382,True
0.2,0.65,0.5008230452674897,0.007818930041152305,29.427271568419382,True
0.2,0.7,0.5008230452674897,0.007818930041152305,29.427271568419382,True
0.2,0.75,0.5008230452674897,0.007818930041152305,29.427271568419382,True
0.2,0.8,0.5008230452674897,0.007818930041152305,29.427271568419382,True
0.2,0.85,0.5006172839506173,0.008024691358024638,30.6231718299468,True
0.2,0.9,0.5008230452674897,0.007818930041152305,30.699997492896248,True
0.2,0.95,0.5008230452674897,0.007818930041152305,30.699997492896248,True
0.2,1.0,0.5008230452674897,0.007818930041152305,30.699997492896248,True
0.25,0.3,0.4862139917695473,0.022427983539094642,63.12415848709354,False
0.25,0.35,0.4823045267489712,0.026337448559670795,55.22082581643598,False
0.25,0.4,0.48477366255144033,0.023868312757201637,46.89845370550523,False
0.25,0.45,0.49588477366255146,0.01275720164609051,40.85990598478624,True
0.25,0.5,0.49876543209876545,0.00987654320987652,38.12768667653265,True
0.25,0.55,0.49835390946502056,0.010288065843621408,36.48488045764413,True
0.25,0.6,0.49958847736625517,0.009053497942386801,35.24620641656129,True
0.25,0.65,0.49958847736625517,0.009053497942386801,35.24620641656129,True
0.25,0.7,0.49958847736625517,0.009053497942386801,35.24620641656129,True
0.25,0.75,0.49958847736625517,0.009053497942386801,35.24620641656129,True
0.25,0.8,0.49958847736625517,0.009053497942386801,35.24620641656129,True
0.25,0.85,0.4993827160493827,0.009259259259259245,36.442106678088706,True
0.25,0.9,0.49958847736625517,0.009053497942386801,36.51893234103814,True
0.25,0.95,0.49958847736625517,0.009053497942386801,36.51893234103814,True
0.25,1.0,0.49958847736625517,0.009053497942386801,36.51893234103814,True
0.3,0.35,0.48045267489711935,0.028189300411522622,60.88610933867899,False
0.3,0.4,0.48292181069958845,0.02572016460905352,52.563737227748256,False
0.3,0.45,0.4940329218106996,0.014609053497942392,46.525189507029246,True
0.3,0.5,0.49691358024691357,0.011728395061728403,43.79297019877566,True
