question_id,dataset_source,task_complexity,complexity_score,acc_per_1k_tokens_adaptive,acc_per_1k_tokens_single-agent,acc_per_1k_tokens_static_multi-agent,is_correct_adaptive,is_correct_single-agent,is_correct_static_multi-agent,routing_decision_adaptive,routing_decision_single-agent,routing_decision_static_multi-agent,token_cost_adaptive,token_cost_single-agent,token_cost_static_multi-agent
DDXPLUS_1000085,DDXPlus,Complex,0.3771,1.8149,1.8149,0.2584,1,1,1,solo,solo,group-3,551,551,3870
DDXPLUS_1000337,DDXPlus,Moderate,0.3445,0.0,0.0,0.0,0,0,0,solo,solo,group-3,597,597,3990
DDXPLUS_1002995,DDXPlus,Complex,0.7081,0.0,0.0,0.0,0,0,0,group-3,solo,group-3,4773,696,4773
DDXPLUS_1004344,DDXPlus,Complex,0.6364,0.2259,1.5129,0.2259,1,1,1,group-3,solo,group-3,4426,661,4426
DDXPLUS_1005626,DDXPlus,Complex,0.588,0.4348,1.4409,0.2371,1,1,1,group-2,solo,group-3,2300,694,4218
DDXPLUS_1006075,DDXPlus,Complex,0.519,0.3994,1.7762,0.221,1,1,1,group-2,solo,group-3,2504,563,4524
DDXPLUS_1006100,DDXPlus,Complex,0.4164,0.4613,0.0,0.2488,1,0,1,group-2,solo,group-3,2168,487,4019
DDXPLUS_1007675,DDXPlus,Moderate,0.3445,2.2573,2.2573,0.2646,1,1,1,solo,solo,group-3,443,443,3780
DDXPLUS_1007952,DDXPlus,Complex,0.4367,0.4695,1.9841,0.2523,1,1,1,group-2,solo,group-3,2130,504,3963
DDXPLUS_1008199,DDXPlus,Complex,0.5021,0.4545,1.8587,0.2458,1,1,1,group-2,solo,group-3,2200,538,4068
DDXPLUS_100912,DDXPlus,Complex,0.4196,0.4651,1.7637,0.2504,1,1,1,group-2,solo,group-3,2150,567,3993
DDXPLUS_1009777,DDXPlus,Moderate,0.1348,5.4054,5.4054,0.3296,1,1,1,solo,solo,group-3,185,185,3034
DDXPLUS_1011305,DDXPlus,Complex,0.5112,0.455,2.2026,0.246,1,1,1,group-2,solo,group-3,2198,454,4065
DDXPLUS_1011594,DDXPlus,Complex,0.5072,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2168,462,3990
DDXPLUS_101198,DDXPlus,Complex,0.4053,0.0,1.6026,0.251,0,1,1,group-2,solo,group-3,2144,624,3984
DDXPLUS_1012062,DDXPlus,Complex,0.4766,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2126,443,3957
DDXPLUS_1012066,DDXPlus,Complex,0.4018,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,1896,391,3609
DDXPLUS_1012329,DDXPlus,Complex,0.5072,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2186,463,4047
DDXPLUS_1013541,DDXPlus,Moderate,0.351,1.7212,1.7212,0.0,1,1,0,solo,solo,group-3,581,581,4002
DDXPLUS_1013743,DDXPlus,Moderate,0.3317,1.8622,1.8622,0.0,1,1,0,solo,solo,group-3,537,537,3888
DDXPLUS_1014263,DDXPlus,Moderate,0.2155,2.5445,2.5445,0.0,1,1,0,solo,solo,group-3,393,393,3515
DDXPLUS_1014380,DDXPlus,Complex,0.3934,2.6178,2.6178,0.2627,1,1,1,solo,solo,group-3,382,382,3806
DDXPLUS_1015140,DDXPlus,Complex,0.4745,0.4359,2.079,0.2376,1,1,1,group-2,solo,group-3,2294,481,4208
DDXPLUS_1015345,DDXPlus,Complex,0.4724,0.4371,1.5291,0.2381,1,1,1,group-2,solo,group-3,2288,654,4200
DDXPLUS_1016707,DDXPlus,Complex,0.404,0.4498,2.3474,0.2437,1,1,1,group-2,solo,group-3,2223,426,4104
DDXPLUS_1017609,DDXPlus,Complex,0.5607,0.3928,1.7123,0.218,1,1,1,group-2,solo,group-3,2546,584,4587
DDXPLUS_1020799,DDXPlus,Moderate,0.135,0.0,0.0,0.3114,0,0,1,solo,solo,group-3,215,215,3211
DDXPLUS_1021018,DDXPlus,Moderate,0.3459,1.5949,1.5949,0.2505,1,1,1,solo,solo,group-3,627,627,3992
DDXPLUS_1021331,DDXPlus,Moderate,0.181,4.4843,4.4843,0.3037,1,1,1,solo,solo,group-3,223,223,3293
DDXPLUS_102347,DDXPlus,Complex,0.3879,0.0,0.0,0.2632,0,0,1,solo,solo,group-3,423,423,3800
DDXPLUS_1024433,DDXPlus,Complex,0.3641,2.6178,2.6178,0.2477,1,1,1,solo,solo,group-3,382,382,4037
DDXPLUS_1025221,DDXPlus,Complex,0.6202,0.2143,1.6313,0.2143,1,1,1,group-3,solo,group-3,4667,613,4667
DDXPLUS_103199,DDXPlus,Complex,0.3771,1.5601,1.5601,0.2569,1,1,1,solo,solo,group-3,641,641,3892
DDXPLUS_103851,DDXPlus,Complex,0.694,0.2029,1.224,0.2029,1,1,1,group-3,solo,group-3,4929,817,4929
DDXPLUS_104645,DDXPlus,Complex,0.82,0.0858,1.0823,0.0,1,1,0,MDT,solo,group-3,11658,924,5450
DDXPLUS_104848,DDXPlus,Moderate,0.1348,6.993,6.993,0.3319,1,1,1,solo,solo,group-3,143,143,3013
DDXPLUS_104951,DDXPlus,Complex,0.792,0.1877,0.9225,0.1877,1,1,1,group-3,solo,group-3,5328,1084,5328
DDXPLUS_105211,DDXPlus,Complex,0.5862,0.4277,1.4881,0.2339,1,1,1,group-2,solo,group-3,2338,672,4275
DDXPLUS_105930,DDXPlus,Complex,0.7334,0.2,1.0707,0.2,1,1,1,group-3,solo,group-3,4999,934,4999
DDXPLUS_106584,DDXPlus,Complex,0.3804,0.0,0.0,0.266,0,0,1,solo,solo,group-3,397,397,3759
DDXPLUS_107615,DDXPlus,Complex,0.5306,0.4156,1.9048,0.2284,1,1,1,group-2,solo,group-3,2406,525,4379
DDXPLUS_107920,DDXPlus,Moderate,0.2527,0.0,0.0,0.269,0,0,1,solo,solo,group-3,506,506,3717
DDXPLUS_110242,DDXPlus,Complex,0.67,0.0,1.3387,0.0,0,1,0,group-3,solo,group-3,4728,747,4728
DDXPLUS_110813,DDXPlus,Moderate,0.2117,4.0984,4.0984,0.2988,1,1,1,solo,solo,group-3,244,244,3347
DDXPLUS_110971,DDXPlus,Moderate,0.2288,4.2373,4.2373,0.308,1,1,1,solo,solo,group-3,236,236,3247
DDXPLUS_111219,DDXPlus,Complex,0.4693,0.4468,1.6667,0.2424,1,1,1,group-2,solo,group-3,2238,600,4125
DDXPLUS_111486,DDXPlus,Complex,0.3996,1.773,1.773,0.2539,1,1,1,solo,solo,group-3,564,564,3939
DDXPLUS_113780,DDXPlus,Moderate,0.2117,3.7453,3.7453,0.2956,1,1,1,solo,solo,group-3,267,267,3383
DDXPLUS_114394,DDXPlus,Complex,0.469,0.0,1.8116,0.0,0,1,0,group-2,solo,group-3,2387,552,4350
DDXPLUS_114641,DDXPlus,Moderate,0.2832,2.8818,2.8818,0.2634,1,1,1,solo,solo,group-3,347,347,3797
DDXPLUS_114754,DDXPlus,Moderate,0.3423,2.9674,2.9674,0.2603,1,1,1,solo,solo,group-3,337,337,3842
DDXPLUS_115540,DDXPlus,Complex,0.6851,0.2123,1.4948,0.2123,1,1,1,group-3,solo,group-3,4710,669,4710
DDXPLUS_116470,DDXPlus,Moderate,0.181,4.4053,4.4053,0.3095,1,1,1,solo,solo,group-3,227,227,3231
DDXPLUS_116834,DDXPlus,Complex,0.6617,0.0,1.1561,0.0,0,1,0,group-3,solo,group-3,4602,865,4602
DDXPLUS_117855,DDXPlus,Complex,0.4501,0.4365,1.7483,0.2378,1,1,1,group-2,solo,group-3,2291,572,4206
DDXPLUS_118719,DDXPlus,Moderate,0.1194,6.5359,6.5359,0.3184,1,1,1,solo,solo,group-3,153,153,3141
DDXPLUS_119558,DDXPlus,Complex,0.5308,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2300,658,4217
DDXPLUS_119877,DDXPlus,Moderate,0.1656,0.0,0.0,0.3128,0,0,1,solo,solo,group-3,376,376,3197
DDXPLUS_120521,DDXPlus,Moderate,0.2288,2.9326,2.9326,0.318,1,1,1,solo,solo,group-3,341,341,3145
DDXPLUS_121917,DDXPlus,Moderate,0.3418,0.0,0.0,0.0,0,0,0,solo,solo,group-3,409,409,3704
DDXPLUS_12195,DDXPlus,Complex,0.798,0.1839,1.1074,0.1839,1,1,1,group-3,solo,group-3,5439,903,5439
DDXPLUS_122161,DDXPlus,Complex,0.4017,0.4643,0.0,0.2501,1,0,1,group-2,solo,group-3,2154,396,3999
DDXPLUS_122248,DDXPlus,Complex,0.4327,0.4513,2.0833,0.2444,1,1,1,group-2,solo,group-3,2216,480,4092
DDXPLUS_122264,DDXPlus,Complex,0.5591,0.0,1.8215,0.0,0,1,0,group-2,solo,group-3,2461,549,4461
DDXPLUS_12256,DDXPlus,Complex,0.5803,0.3833,1.2136,0.2135,1,1,1,group-2,solo,group-3,2609,824,4683
DDXPLUS_123839,DDXPlus,Complex,0.59,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2491,885,4434
DDXPLUS_125239,DDXPlus,Moderate,0.1504,4.4248,4.4248,0.3121,1,1,1,solo,solo,group-3,226,226,3204
DDXPLUS_125259,DDXPlus,Moderate,0.3312,2.8571,2.8571,0.0,1,1,0,solo,solo,group-3,350,350,3648
DDXPLUS_125901,DDXPlus,Complex,0.4616,0.4167,1.5873,0.2289,1,1,1,group-2,solo,group-3,2400,630,4369
DDXPLUS_12658,DDXPlus,Complex,0.5441,0.4174,1.9417,0.0,1,1,0,group-2,solo,group-3,2396,515,4362
DDXPLUS_127001,DDXPlus,Complex,0.4876,0.4664,2.2573,0.251,1,1,1,group-2,solo,group-3,2144,443,3984
DDXPLUS_127130,DDXPlus,Complex,0.4671,0.4525,0.0,0.2449,1,0,1,group-2,solo,group-3,2210,571,4083
DDXPLUS_127698,DDXPlus,Complex,0.3691,2.2321,2.2321,0.0,1,1,0,solo,solo,group-3,448,448,3833
DDXPLUS_128478,DDXPlus,Moderate,0.3014,3.2258,3.2258,0.2673,1,1,1,solo,solo,group-3,310,310,3741
DDXPLUS_12941,DDXPlus,Complex,0.656,0.0,0.0,0.0,0,0,0,group-3,solo,group-3,4863,697,4863
DDXPLUS_13027,DDXPlus,Moderate,0.3035,1.8083,1.8083,0.2827,1,1,1,solo,solo,group-3,553,553,3537
DDXPLUS_130347,DDXPlus,Complex,0.5893,0.3814,1.1136,0.2128,1,1,1,group-2,solo,group-3,2622,898,4700
DDXPLUS_131078,DDXPlus,Moderate,0.3494,2.9155,2.9155,0.2923,1,1,1,solo,solo,group-3,343,343,3421
DDXPLUS_131511,DDXPlus,Complex,0.6691,0.2225,1.385,0.2225,1,1,1,group-3,solo,group-3,4494,722,4494
DDXPLUS_13154,DDXPlus,Complex,0.3619,2.4272,2.4272,0.2622,1,1,1,solo,solo,group-3,412,412,3814
DDXPLUS_131736,DDXPlus,Complex,0.5421,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2300,593,4140
DDXPLUS_132067,DDXPlus,Complex,0.4765,0.4771,2.1186,0.2556,1,1,1,group-2,solo,group-3,2096,472,3912
DDXPLUS_132232,DDXPlus,Complex,0.5556,0.4039,1.7036,0.2231,1,1,1,group-2,solo,group-3,2476,587,4482
DDXPLUS_132597,DDXPlus,Moderate,0.3496,1.8116,1.8116,0.2627,1,1,1,solo,solo,group-3,552,552,3806
DDXPLUS_133233,DDXPlus,Complex,0.4059,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2172,522,4026
DDXPLUS_133794,DDXPlus,Complex,0.6753,0.2141,1.1312,0.2141,1,1,1,group-3,solo,group-3,4671,884,4671
DDXPLUS_134043,DDXPlus,Complex,0.5574,0.0,0.0,0.2467,0,0,1,group-2,solo,group-3,2194,503,4054
DDXPLUS_134334,DDXPlus,Moderate,0.183,2.7397,2.7397,0.2874,1,1,1,solo,solo,group-3,365,365,3480
DDXPLUS_134414,DDXPlus,Complex,0.5063,0.0,1.4286,0.2376,0,1,1,group-2,solo,group-3,2294,700,4209
DDXPLUS_136953,DDXPlus,Moderate,0.187,3.7313,3.7313,0.28,1,1,1,solo,solo,group-3,268,268,3572
DDXPLUS_137867,DDXPlus,Complex,0.71,0.0,1.0341,0.0,0,1,0,group-3,solo,group-3,5107,967,5107
DDXPLUS_138333,DDXPlus,Moderate,0.3465,0.0,0.0,0.0,0,0,0,solo,solo,group-3,418,418,3957
DDXPLUS_138377,DDXPlus,Complex,0.5766,0.401,1.3605,0.2218,1,1,1,group-2,solo,group-3,2494,735,4509
DDXPLUS_140396,DDXPlus,Complex,0.3705,2.004,2.004,0.2562,1,1,1,solo,solo,group-3,499,499,3903
DDXPLUS_140608,DDXPlus,Complex,0.806,0.0903,1.1062,0.1936,1,1,1,MDT,solo,group-3,11078,904,5166
DDXPLUS_140634,DDXPlus,Moderate,0.179,0.0,0.0,0.3089,0,0,1,solo,solo,group-3,222,222,3237
DDXPLUS_142404,DDXPlus,Complex,0.534,0.4583,0.0,0.2499,1,0,1,group-2,solo,group-3,2182,508,4001
DDXPLUS_142687,DDXPlus,Moderate,0.1368,4.9505,4.9505,0.31,1,1,1,solo,solo,group-3,202,202,3226
DDXPLUS_143566,DDXPlus,Complex,0.446,0.45,2.2727,0.2438,1,1,1,group-2,solo,group-3,2222,440,4101
DDXPLUS_143853,DDXPlus,Complex,0.5415,0.4065,1.5337,0.2244,1,1,1,group-2,solo,group-3,2460,652,4457
DDXPLUS_144105,DDXPlus,Moderate,0.3168,3.7879,3.7879,0.2818,1,1,1,solo,solo,group-3,264,264,3548
DDXPLUS_144426,DDXPlus,Complex,0.5288,0.431,2.0877,0.2354,1,1,1,group-2,solo,group-3,2320,479,4248
DDXPLUS_144767,DDXPlus,Complex,0.3927,0.0,0.0,0.0,0,0,0,solo,solo,group-3,407,407,4017
DDXPLUS_145062,DDXPlus,Moderate,0.2861,3.1646,3.1646,0.276,1,1,1,solo,solo,group-3,316,316,3623
DDXPLUS_145210,DDXPlus,Moderate,0.233,0.0,0.0,0.2909,0,0,1,solo,solo,group-3,414,414,3438
DDXPLUS_14570,DDXPlus,Complex,0.461,0.4613,0.0,0.2488,1,0,1,group-2,solo,group-3,2168,439,4020
DDXPLUS_14673,DDXPlus,Moderate,0.1522,2.6316,2.6316,0.3053,1,1,1,solo,solo,group-3,380,380,3276
DDXPLUS_147000,DDXPlus,Complex,0.7513,0.2083,1.1377,0.2083,1,1,1,group-3,solo,group-3,4800,879,4800
DDXPLUS_14776,DDXPlus,Complex,0.532,0.0,1.6287,0.2145,0,1,1,group-2,solo,group-3,2596,614,4662
DDXPLUS_149218,DDXPlus,Complex,0.4438,0.46,1.8083,0.2484,1,1,1,group-2,solo,group-3,2174,553,4026
DDXPLUS_149249,DDXPlus,Complex,0.3935,1.7271,1.7271,0.2687,1,1,1,solo,solo,group-3,579,579,3722
DDXPLUS_14945,DDXPlus,Moderate,0.2902,2.8571,2.8571,0.272,1,1,1,solo,solo,group-3,350,350,3677
DDXPLUS_149745,DDXPlus,Complex,0.3631,2.0492,2.0492,0.2489,1,1,1,solo,solo,group-3,488,488,4017
DDXPLUS_150361,DDXPlus,Complex,0.6603,0.0,1.1136,0.0,0,1,0,group-3,solo,group-3,4854,898,4854
DDXPLUS_150409,DDXPlus,Simple,0.0714,0.0,0.0,0.0,0,0,0,solo,solo,group-3,124,124,3031
DDXPLUS_150599,DDXPlus,Moderate,0.1194,5.3191,5.3191,0.3139,1,1,1,solo,solo,group-3,188,188,3186
DDXPLUS_151895,DDXPlus,Complex,0.5299,0.4068,1.3158,0.2245,1,1,1,group-2,solo,group-3,2458,760,4455
DDXPLUS_152015,DDXPlus,Complex,0.7247,0.0,0.0,0.0,0,0,0,group-3,solo,group-3,4986,921,4986
DDXPLUS_152607,DDXPlus,Complex,0.3925,2.4631,2.4631,0.2503,1,1,1,solo,solo,group-3,406,406,3996
DDXPLUS_152993,DDXPlus,Complex,0.4342,0.0,1.4728,0.0,0,1,0,group-2,solo,group-3,2264,679,4164
DDXPLUS_153520,DDXPlus,Complex,0.3752,0.0,0.0,0.0,0,0,0,solo,solo,group-3,549,549,3874
DDXPLUS_153603,DDXPlus,Complex,0.4993,0.4136,1.6313,0.2275,1,1,1,group-2,solo,group-3,2418,613,4395
DDXPLUS_155230,DDXPlus,Complex,0.4563,0.434,0.0,0.2369,1,0,1,group-2,solo,group-3,2304,660,4221
DDXPLUS_155871,DDXPlus,Complex,0.3712,1.8832,1.8832,0.2491,1,1,1,solo,solo,group-3,531,531,4014
DDXPLUS_156461,DDXPlus,Complex,0.653,0.2257,1.3158,0.2257,1,1,1,group-3,solo,group-3,4431,760,4431
DDXPLUS_157389,DDXPlus,Moderate,0.3271,2.1186,2.1186,0.2625,1,1,1,solo,solo,group-3,472,472,3810
DDXPLUS_157738,DDXPlus,Moderate,0.2421,2.1692,2.1692,0.3145,1,1,1,solo,solo,group-3,461,461,3180
DDXPLUS_158230,DDXPlus,Complex,0.3906,0.0,0.0,0.2548,0,0,1,solo,solo,group-3,417,417,3925
DDXPLUS_158547,DDXPlus,Complex,0.7049,0.2071,1.3072,0.2071,1,1,1,group-3,solo,group-3,4828,765,4828
DDXPLUS_158815,DDXPlus,Complex,0.563,0.0,0.0,0.2153,0,0,1,group-2,solo,group-3,2583,595,4644
DDXPLUS_158861,DDXPlus,Moderate,0.3159,0.0,0.0,0.0,0,0,0,solo,solo,group-3,345,345,3693
DDXPLUS_159010,DDXPlus,Complex,0.3957,1.6949,1.6949,0.2541,1,1,1,solo,solo,group-3,590,590,3935
DDXPLUS_159445,DDXPlus,Moderate,0.2597,0.0,0.0,0.3111,0,0,1,solo,solo,group-3,426,426,3214
DDXPLUS_159587,DDXPlus,Complex,0.3644,1.9048,1.9048,0.2555,1,1,1,solo,solo,group-3,525,525,3914
DDXPLUS_1600,DDXPlus,Complex,0.6609,0.0,1.0707,0.0,0,1,0,group-3,solo,group-3,4869,934,4869
DDXPLUS_160578,DDXPlus,Complex,0.4876,0.4776,2.1186,0.2567,1,1,1,group-2,solo,group-3,2094,472,3896
DDXPLUS_161162,DDXPlus,Moderate,0.2271,2.2831,2.2831,0.2915,1,1,1,solo,solo,group-3,438,438,3431
DDXPLUS_16158,DDXPlus,Complex,0.4541,0.4794,1.8382,0.2567,1,1,1,group-2,solo,group-3,2086,544,3896
DDXPLUS_161814,DDXPlus,Complex,0.5675,0.4241,1.8762,0.2323,1,1,1,group-2,solo,group-3,2358,533,4305
DDXPLUS_16287,DDXPlus,Moderate,0.227,3.1847,3.1847,0.3024,1,1,1,solo,solo,group-3,314,314,3307
DDXPLUS_163194,DDXPlus,Complex,0.705,0.2091,1.2407,0.2091,1,1,1,group-3,solo,group-3,4782,806,4782
DDXPLUS_164086,DDXPlus,Complex,0.4014,0.4541,0.0,0.0,1,0,0,group-2,solo,group-3,2202,637,4071
DDXPLUS_164182,DDXPlus,Moderate,0.2219,1.8622,1.8622,0.0,1,1,0,solo,solo,group-3,537,537,3633
DDXPLUS_164794,DDXPlus,Complex,0.5358,0.4202,1.4837,0.2304,1,1,1,group-2,solo,group-3,2380,674,4340
DDXPLUS_164881,DDXPlus,Complex,0.4456,0.4965,2.381,0.2639,1,1,1,group-2,solo,group-3,2014,420,3789
DDXPLUS_166718,DDXPlus,Complex,0.449,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2367,526,4320
DDXPLUS_166842,DDXPlus,Moderate,0.3343,2.008,2.008,0.2791,1,1,1,solo,solo,group-3,498,498,3583
DDXPLUS_16687,DDXPlus,Complex,0.6406,0.2278,0.0,0.2278,1,0,1,group-3,solo,group-3,4389,601,4389
DDXPLUS_16820,DDXPlus,Moderate,0.3557,2.6882,2.6882,0.252,1,1,1,solo,solo,group-3,372,372,3968
DDXPLUS_168935,DDXPlus,Moderate,0.1503,0.0,0.0,0.3313,0,0,1,solo,solo,group-3,203,203,3018
DDXPLUS_168949,DDXPlus,Simple,0.0888,7.3529,7.3529,0.3224,1,1,1,solo,solo,group-3,136,136,3102
DDXPLUS_16900,DDXPlus,Complex,0.5706,0.4223,1.7953,0.2335,1,1,1,group-2,solo,group-3,2368,557,4283
DDXPLUS_169154,DDXPlus,Complex,0.4773,0.4072,1.8315,0.2247,1,1,1,group-2,solo,group-3,2456,546,4451
DDXPLUS_169425,DDXPlus,Complex,0.5631,0.0,1.8051,0.0,0,1,0,group-2,solo,group-3,2461,554,4461
DDXPLUS_170207,DDXPlus,Complex,0.5072,0.4344,1.3423,0.237,1,1,1,group-2,solo,group-3,2302,745,4219
DDXPLUS_170644,DDXPlus,Complex,0.4697,0.4484,2.0921,0.2431,1,1,1,group-2,solo,group-3,2230,478,4113
DDXPLUS_171058,DDXPlus,Moderate,0.3341,2.6316,2.6316,0.2699,1,1,1,solo,solo,group-3,380,380,3705
DDXPLUS_171349,DDXPlus,Complex,0.5442,0.0,1.9305,0.0,0,1,0,group-2,solo,group-3,2238,518,4125
DDXPLUS_17175,DDXPlus,Moderate,0.1522,4.2553,4.2553,0.2896,1,1,1,solo,solo,group-3,235,235,3453
DDXPLUS_172064,DDXPlus,Complex,0.7029,0.0,1.1641,0.0,0,1,0,group-3,solo,group-3,4815,859,4815
DDXPLUS_172120,DDXPlus,Moderate,0.1175,0.0,0.0,0.0,0,0,0,solo,solo,group-3,371,371,3213
DDXPLUS_173276,DDXPlus,Moderate,0.3189,2.994,2.994,0.273,1,1,1,solo,solo,group-3,334,334,3663
DDXPLUS_174564,DDXPlus,Moderate,0.3341,2.2272,2.2272,0.2732,1,1,1,solo,solo,group-3,449,449,3660
DDXPLUS_174789,DDXPlus,Complex,0.4876,0.4638,2.2173,0.2499,1,1,1,group-2,solo,group-3,2156,451,4002
DDXPLUS_174816,DDXPlus,Moderate,0.2574,3.6765,3.6765,0.2741,1,1,1,solo,solo,group-3,272,272,3648
DDXPLUS_17524,DDXPlus,Complex,0.4226,0.4713,2.0284,0.2531,1,1,1,group-2,solo,group-3,2122,493,3951
DDXPLUS_176967,DDXPlus,Moderate,0.3323,1.8797,1.8797,0.2677,1,1,1,solo,solo,group-3,532,532,3735
DDXPLUS_177636,DDXPlus,Complex,0.7663,0.2014,1.1933,0.2014,1,1,1,group-3,solo,group-3,4965,838,4965
DDXPLUS_178425,DDXPlus,Complex,0.4978,0.4274,1.9531,0.2336,1,1,1,group-2,solo,group-3,2340,512,4280
DDXPLUS_178645,DDXPlus,Moderate,0.3184,1.9231,1.9231,0.2599,1,1,1,solo,solo,group-3,520,520,3848
DDXPLUS_179023,DDXPlus,Complex,0.5114,0.0,0.0,0.25,0,0,1,group-2,solo,group-3,2154,472,4000
DDXPLUS_179928,DDXPlus,Complex,0.4941,0.4575,0.0,0.2471,1,0,1,group-2,solo,group-3,2186,469,4047
DDXPLUS_180049,DDXPlus,Complex,0.5104,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2374,529,4329
DDXPLUS_180158,DDXPlus,Complex,0.4479,0.4398,2.0964,0.2393,1,1,1,group-2,solo,group-3,2274,477,4179
DDXPLUS_18019,DDXPlus,Moderate,0.3364,2.2472,2.2472,0.2589,1,1,1,solo,solo,group-3,445,445,3862
DDXPLUS_180197,DDXPlus,Complex,0.7433,0.2046,1.139,0.2046,1,1,1,group-3,solo,group-3,4887,878,4887
DDXPLUS_180637,DDXPlus,Moderate,0.2269,3.4722,3.4722,0.308,1,1,1,solo,solo,group-3,288,288,3247
DDXPLUS_180982,DDXPlus,Moderate,0.231,3.6765,3.6765,0.2903,1,1,1,solo,solo,group-3,272,272,3445
DDXPLUS_180987,DDXPlus,Complex,0.826,0.0,0.9461,0.0,0,1,0,MDT,solo,group-3,11688,1057,5562
DDXPLUS_181709,DDXPlus,Complex,0.4213,0.4647,2.0833,0.2503,1,1,1,group-2,solo,group-3,2152,480,3996
DDXPLUS_182480,DDXPlus,Moderate,0.3226,0.0,0.0,0.2672,0,0,1,solo,solo,group-3,505,505,3742
DDXPLUS_184670,DDXPlus,Complex,0.4671,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2198,460,4065
DDXPLUS_185267,DDXPlus,Moderate,0.179,2.849,2.849,0.0,1,1,0,solo,solo,group-3,351,351,3210
DDXPLUS_186025,DDXPlus,Complex,0.3787,0.0,0.0,0.0,0,0,0,solo,solo,group-3,446,446,3858
DDXPLUS_186164,DDXPlus,Complex,0.4388,0.45,1.5723,0.0,1,1,0,group-2,solo,group-3,2222,636,4100
DDXPLUS_186336,DDXPlus,Complex,0.4947,0.0,1.6529,0.2289,0,1,1,group-2,solo,group-3,2400,605,4368
DDXPLUS_186548,DDXPlus,Complex,0.4767,0.4566,1.497,0.2467,1,1,1,group-2,solo,group-3,2190,668,4053
DDXPLUS_187321,DDXPlus,Moderate,0.1175,0.0,0.0,0.0,0,0,0,solo,solo,group-3,203,203,3111
DDXPLUS_187677,DDXPlus,Complex,0.5321,0.4068,0.0,0.2244,1,0,1,group-2,solo,group-3,2458,765,4456
DDXPLUS_187864,DDXPlus,Complex,0.4631,0.4596,2.1413,0.2481,1,1,1,group-2,solo,group-3,2176,467,4030
DDXPLUS_188401,DDXPlus,Complex,0.5337,0.4275,1.5552,0.2338,1,1,1,group-2,solo,group-3,2339,643,4278
DDXPLUS_188738,DDXPlus,Complex,0.4631,0.4625,2.1598,0.2493,1,1,1,group-2,solo,group-3,2162,463,4011
DDXPLUS_189082,DDXPlus,Complex,0.4784,0.4492,0.0,0.2435,1,0,1,group-2,solo,group-3,2226,424,4107
DDXPLUS_189980,DDXPlus,Complex,0.3687,1.8182,1.8182,0.0,1,1,0,solo,solo,group-3,550,550,3957
DDXPLUS_19005,DDXPlus,Moderate,0.2157,2.907,2.907,0.288,1,1,1,solo,solo,group-3,344,344,3472
DDXPLUS_190569,DDXPlus,Complex,0.4767,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2128,451,3960
DDXPLUS_191964,DDXPlus,Moderate,0.2107,0.0,0.0,0.0,0,0,0,solo,solo,group-3,508,508,3586
DDXPLUS_191982,DDXPlus,Moderate,0.1174,0.0,0.0,0.0,0,0,0,solo,solo,group-3,240,240,3162
DDXPLUS_192273,DDXPlus,Complex,0.3751,0.0,0.0,0.0,0,0,0,solo,solo,group-3,563,563,3978
DDXPLUS_194159,DDXPlus,Moderate,0.3476,2.8902,2.8902,0.2722,1,1,1,solo,solo,group-3,346,346,3674
DDXPLUS_196971,DDXPlus,Moderate,0.2925,2.1231,2.1231,0.2648,1,1,1,solo,solo,group-3,471,471,3776
DDXPLUS_197434,DDXPlus,Moderate,0.3325,2.2727,2.2727,0.2728,1,1,1,solo,solo,group-3,440,440,3666
DDXPLUS_197678,DDXPlus,Complex,0.4585,0.478,2.1368,0.2562,1,1,1,group-2,solo,group-3,2092,468,3903
DDXPLUS_197841,DDXPlus,Complex,0.4438,0.4826,1.8315,0.2597,1,1,1,group-2,solo,group-3,2072,546,3851
DDXPLUS_200400,DDXPlus,Complex,0.5154,0.4155,1.6313,0.2283,1,1,1,group-2,solo,group-3,2407,613,4380
DDXPLUS_200736,DDXPlus,Complex,0.5114,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2154,479,3992
DDXPLUS_201346,DDXPlus,Complex,0.4623,0.0,1.4164,0.2379,0,1,1,group-2,solo,group-3,2290,706,4203
DDXPLUS_201481,DDXPlus,Complex,0.5591,0.0,1.4641,0.0,0,1,0,group-2,solo,group-3,2413,683,4389
DDXPLUS_203638,DDXPlus,Complex,0.826,0.0852,1.1274,0.1852,1,1,1,MDT,solo,group-3,11741,887,5400
DDXPLUS_205092,DDXPlus,Complex,0.5022,0.4367,2.1008,0.2379,1,1,1,group-2,solo,group-3,2290,476,4203
DDXPLUS_205940,DDXPlus,Complex,0.4615,0.4634,2.2523,0.2498,1,1,1,group-2,solo,group-3,2158,444,4004
