question_id,dataset_source,task_complexity,complexity_score,acc_per_1k_tokens_adaptive,acc_per_1k_tokens_single-agent,acc_per_1k_tokens_static_multi-agent,is_correct_adaptive,is_correct_single-agent,is_correct_static_multi-agent,routing_decision_adaptive,routing_decision_single-agent,routing_decision_static_multi-agent,token_cost_adaptive,token_cost_single-agent,token_cost_static_multi-agent
DDXPLUS_636769,DDXPlus,Moderate,0.1501,6.0241,6.0241,0.3058,1,1,1,solo,solo,group-3,166,166,3270
DDXPLUS_63760,DDXPlus,Complex,0.4913,0.4205,1.3298,0.2307,1,1,1,group-2,solo,group-3,2378,752,4335
DDXPLUS_637861,DDXPlus,Complex,0.5611,0.0,1.7825,0.0,0,1,0,group-2,solo,group-3,2444,561,4434
DDXPLUS_637952,DDXPlus,Moderate,0.311,1.8868,1.8868,0.2673,1,1,1,solo,solo,group-3,530,530,3741
DDXPLUS_638720,DDXPlus,Complex,0.4876,0.4757,1.6393,0.255,1,1,1,group-2,solo,group-3,2102,610,3921
DDXPLUS_63931,DDXPlus,Complex,0.6731,0.22,1.6447,0.22,1,1,1,group-3,solo,group-3,4545,608,4545
DDXPLUS_639489,DDXPlus,Complex,0.5463,0.431,1.6584,0.2379,1,1,1,group-2,solo,group-3,2320,603,4203
DDXPLUS_639893,DDXPlus,Moderate,0.2118,4.0816,4.0816,0.3046,1,1,1,solo,solo,group-3,245,245,3283
DDXPLUS_640283,DDXPlus,Complex,0.7374,0.2013,1.287,0.2013,1,1,1,group-3,solo,group-3,4967,777,4967
DDXPLUS_642446,DDXPlus,Complex,0.537,0.0,1.4164,0.0,0,1,0,group-2,solo,group-3,2344,706,4283
DDXPLUS_643035,DDXPlus,Complex,0.5896,0.4153,0.0,0.2283,1,0,1,group-2,solo,group-3,2408,836,4380
DDXPLUS_643054,DDXPlus,Complex,0.3633,1.8149,1.8149,0.2751,1,1,1,solo,solo,group-3,551,551,3635
DDXPLUS_643392,DDXPlus,Complex,0.657,0.0,1.4881,0.0,0,1,0,group-3,solo,group-3,4776,672,4776
DDXPLUS_643960,DDXPlus,Complex,0.5259,0.4014,1.7301,0.2219,1,1,1,group-2,solo,group-3,2491,578,4506
DDXPLUS_644570,DDXPlus,Moderate,0.353,2.6455,2.6455,0.2623,1,1,1,solo,solo,group-3,378,378,3813
DDXPLUS_647684,DDXPlus,Moderate,0.1636,0.0,0.0,0.3162,0,0,1,solo,solo,group-3,208,208,3163
DDXPLUS_648929,DDXPlus,Complex,0.3752,0.0,0.0,0.0,0,0,0,solo,solo,group-3,388,388,3959
DDXPLUS_649449,DDXPlus,Complex,0.4017,0.4645,1.9455,0.2501,1,1,1,group-2,solo,group-3,2153,514,3999
DDXPLUS_64961,DDXPlus,Complex,0.814,0.0867,1.1806,0.1876,1,1,1,MDT,solo,group-3,11534,847,5331
DDXPLUS_649655,DDXPlus,Complex,0.788,0.0,0.9833,0.0,0,1,0,group-3,solo,group-3,5092,1017,5092
DDXPLUS_653101,DDXPlus,Complex,0.4888,0.448,1.8868,0.243,1,1,1,group-2,solo,group-3,2232,530,4115
DDXPLUS_65371,DDXPlus,Complex,0.7509,0.0,1.2151,0.0,0,1,0,group-3,solo,group-3,4963,823,4963
DDXPLUS_655057,DDXPlus,Moderate,0.3466,0.0,0.0,0.0,0,0,0,solo,solo,group-3,375,375,3645
DDXPLUS_655318,DDXPlus,Complex,0.78,0.1949,1.0672,0.1949,1,1,1,group-3,solo,group-3,5130,937,5130
DDXPLUS_655416,DDXPlus,Moderate,0.3116,1.9305,1.9305,0.2779,1,1,1,solo,solo,group-3,518,518,3599
DDXPLUS_656426,DDXPlus,Complex,0.6393,0.0,0.0,0.0,0,0,0,group-3,solo,group-3,4719,690,4719
DDXPLUS_657255,DDXPlus,Complex,0.6687,0.2094,0.0,0.2094,1,0,1,group-3,solo,group-3,4775,895,4775
DDXPLUS_65767,DDXPlus,Complex,0.4113,0.4808,0.0,0.2572,1,0,1,group-2,solo,group-3,2080,421,3888
DDXPLUS_657787,DDXPlus,Complex,0.4091,0.4946,1.938,0.2631,1,1,1,group-2,solo,group-3,2022,516,3801
DDXPLUS_658035,DDXPlus,Moderate,0.1041,6.0976,6.0976,0.3321,1,1,1,solo,solo,group-3,164,164,3011
DDXPLUS_658084,DDXPlus,Complex,0.4149,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,1922,554,3609
DDXPLUS_658174,DDXPlus,Moderate,0.3068,3.0211,3.0211,0.273,1,1,1,solo,solo,group-3,331,331,3663
DDXPLUS_658560,DDXPlus,Complex,0.4914,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2346,612,4286
DDXPLUS_658662,DDXPlus,Complex,0.458,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2439,706,4428
DDXPLUS_659702,DDXPlus,Complex,0.4695,0.4378,1.845,0.0,1,1,0,group-2,solo,group-3,2284,542,4194
DDXPLUS_659707,DDXPlus,Complex,0.417,0.5076,1.938,0.2687,1,1,1,group-2,solo,group-3,1970,516,3722
DDXPLUS_660100,DDXPlus,Moderate,0.2271,2.584,2.584,0.0,1,1,0,solo,solo,group-3,387,387,3315
DDXPLUS_660724,DDXPlus,Complex,0.4654,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2122,487,3877
DDXPLUS_660926,DDXPlus,Complex,0.434,0.4369,1.7301,0.238,1,1,1,group-2,solo,group-3,2289,578,4202
DDXPLUS_661378,DDXPlus,Complex,0.5184,0.457,2.0964,0.2469,1,1,1,group-2,solo,group-3,2188,477,4050
DDXPLUS_662436,DDXPlus,Moderate,0.3466,1.9011,1.9011,0.0,1,1,0,solo,solo,group-3,526,526,3860
DDXPLUS_663178,DDXPlus,Complex,0.4942,0.4638,2.0704,0.2499,1,1,1,group-2,solo,group-3,2156,483,4002
DDXPLUS_664356,DDXPlus,Complex,0.6787,0.2068,1.4641,0.2068,1,1,1,group-3,solo,group-3,4836,683,4836
DDXPLUS_664423,DDXPlus,Complex,0.4615,0.4766,2.3095,0.2554,1,1,1,group-2,solo,group-3,2098,433,3915
DDXPLUS_66664,DDXPlus,Complex,0.4448,0.0,1.3908,0.2362,0,1,1,group-2,solo,group-3,2310,719,4233
DDXPLUS_666675,DDXPlus,Complex,0.614,0.2177,1.7301,0.2177,1,1,1,group-3,solo,group-3,4593,578,4593
DDXPLUS_667332,DDXPlus,Complex,0.5522,0.0,1.9455,0.0,0,1,0,group-2,solo,group-3,2320,514,4248
DDXPLUS_667392,DDXPlus,Complex,0.474,0.3964,0.0,0.2196,1,0,1,group-2,solo,group-3,2523,771,4554
DDXPLUS_668243,DDXPlus,Complex,0.4059,0.4704,1.7544,0.2528,1,1,1,group-2,solo,group-3,2126,570,3956
DDXPLUS_668643,DDXPlus,Complex,0.4614,0.4677,2.2573,0.2516,1,1,1,group-2,solo,group-3,2138,443,3975
DDXPLUS_669052,DDXPlus,Complex,0.4574,0.0,1.845,0.0,0,1,0,group-2,solo,group-3,2006,542,3767
DDXPLUS_670061,DDXPlus,Complex,0.4168,0.4488,0.0,0.2433,1,0,1,group-2,solo,group-3,2228,537,4110
DDXPLUS_670248,DDXPlus,Moderate,0.1542,4.2735,4.2735,0.0,1,1,0,solo,solo,group-3,234,234,3167
DDXPLUS_670483,DDXPlus,Complex,0.3726,0.0,0.0,0.0,0,0,0,solo,solo,group-3,526,526,4125
DDXPLUS_672570,DDXPlus,Moderate,0.3212,1.7513,1.7513,0.2838,1,1,1,solo,solo,group-3,571,571,3524
DDXPLUS_673023,DDXPlus,Moderate,0.281,0.0,0.0,0.0,0,0,0,solo,solo,group-3,411,411,3659
DDXPLUS_673548,DDXPlus,Complex,0.4674,0.4513,1.506,0.2444,1,1,1,group-2,solo,group-3,2216,664,4091
DDXPLUS_673757,DDXPlus,Complex,0.369,2.0619,2.0619,0.2635,1,1,1,solo,solo,group-3,485,485,3795
DDXPLUS_673964,DDXPlus,Complex,0.3786,1.9342,1.9342,0.268,1,1,1,solo,solo,group-3,517,517,3732
DDXPLUS_674004,DDXPlus,Complex,0.5945,0.3911,1.5361,0.2172,1,1,1,group-2,solo,group-3,2557,651,4605
DDXPLUS_674254,DDXPlus,Complex,0.4308,0.4869,2.4691,0.2612,1,1,1,group-2,solo,group-3,2054,405,3829
DDXPLUS_674256,DDXPlus,Complex,0.776,0.1954,1.0152,0.1954,1,1,1,group-3,solo,group-3,5119,985,5119
DDXPLUS_674753,DDXPlus,Complex,0.4017,0.4572,0.0,0.2469,1,0,1,group-2,solo,group-3,2187,495,4050
DDXPLUS_674941,DDXPlus,Complex,0.4939,0.4303,1.6129,0.2351,1,1,1,group-2,solo,group-3,2324,620,4254
DDXPLUS_675428,DDXPlus,Complex,0.4845,0.4363,2.2422,0.2378,1,1,1,group-2,solo,group-3,2292,446,4206
DDXPLUS_675607,DDXPlus,Complex,0.369,1.8416,1.8416,0.26,1,1,1,solo,solo,group-3,543,543,3846
DDXPLUS_676204,DDXPlus,Complex,0.6776,0.2128,1.5267,0.2128,1,1,1,group-3,solo,group-3,4700,655,4700
DDXPLUS_677386,DDXPlus,Moderate,0.1195,4.5249,4.5249,0.0,1,1,0,solo,solo,group-3,221,221,3111
DDXPLUS_677814,DDXPlus,Complex,0.5175,0.4413,1.9417,0.24,1,1,1,group-2,solo,group-3,2266,515,4167
